[syn]	d0s	top	d0t
wn30instances:synset-bed-noun-7	d0:Location	wn30instances:synset-surface-noun-1	<http://www.ontologydesignpatterns.org/ont/dul/Supplements.owl#SpatialFeature>
wn30instances:synset-bed_ground-noun-1	d0:Location	wn30instances:synset-area-noun-1	dul:Place
wn30instances:synset-bedfellow-noun-2	dul:Person	wn30instances:synset-person-noun-1	dul:Person
wn30instances:synset-bedrock-noun-1	dul:PhysicalObject	wn30instances:synset-rock-noun-1	dul:PhysicalBody
wn30instances:synset-bedside-noun-1	d0:Location	wn30instances:synset-side-noun-1	<http://www.ontologydesignpatterns.org/ont/dul/Supplements.owl#SpatialFeature>
wn30instances:synset-beehive-noun-1	d0:Location	wn30instances:synset-workplace-noun-1	dul:Place
wn30instances:synset-beehive-noun-2	d0:Location	wn30instances:synset-nest-noun-1	dul:Place
wn30instances:synset-beep-noun-1	d0:Event	wn30instances:synset-sound-noun-4	dul:Event
wn30instances:synset-beginning-noun-1	dul:Situation	wn30instances:synset-happening-noun-1	dul:Situation
wn30instances:synset-beginning-noun-3	dul:PhysicalObject	wn30instances:synset-part-noun-9	<http://www.ontologydesignpatterns.org/ont/dul/Supplements.owl#DependentPart>
wn30instances:synset-behavior-noun-2	dul:Situation	wn30instances:synset-action-noun-2	dul:Situation
wn30instances:synset-belief-noun-1	dul:InformationEntity	wn30instances:synset-content-noun-5	coll:InformationCollection
wn30instances:synset-bell-noun-10	d0:Location	wn30instances:synset-opening-noun-10	<http://www.ontologydesignpatterns.org/ont/dul/Supplements.owl#DependentPlace>
wn30instances:synset-bell-noun-3	d0:Event	wn30instances:synset-sound-noun-4	dul:Event
wn30instances:synset-bell-noun-5	d0:Characteristic	wn30instances:synset-curve-noun-1	dul:Quality
wn30instances:synset-belting-noun-1	dul:PhysicalObject	wn30instances:synset-fabric-noun-1	dul:DesignedArtifact
wn30instances:synset-bench-noun-6	dul:Collection	wn30instances:synset-subgroup-noun-1	dul:Collective
wn30instances:synset-bend-noun-1	d0:Characteristic	wn30instances:synset-curve-noun-1	dul:Quality
wn30instances:synset-bending-noun-1	d0:Event	wn30instances:synset-movement-noun-3	dul:Event
wn30instances:synset-benthos-noun-1	d0:Location	wn30instances:synset-biogeographical_region-noun-1	dul:Place
wn30instances:synset-benthos-noun-2	dul:Organism	wn30instances:synset-organism-noun-1	dul:Organism
wn30instances:synset-benzofuran-noun-1	dul:PhysicalObject	wn30instances:synset-compound-noun-2	dul:ChemicalObject
wn30instances:synset-benzoyl_group-noun-1	dul:Collection	wn30instances:synset-group-noun-2	dul:Collection
wn30instances:synset-benzyl-noun-1	dul:Collection	wn30instances:synset-group-noun-2	dul:Collection
wn30instances:synset-bereaved-noun-1	dul:Person	wn30instances:synset-person-noun-1	dul:Person
wn30instances:synset-best-noun-1	d0:Activity	wn30instances:synset-attempt-noun-1	dul:Task
wn30instances:synset-best-noun-2	dul:Person	wn30instances:synset-person-noun-1	dul:Person
wn30instances:synset-beta_cell-noun-1	dul:PhysicalObject	wn30instances:synset-cell-noun-2	dul:BiologicalObject
wn30instances:synset-betterment-noun-2	dul:Situation	wn30instances:synset-improvement-noun-3	dul:Situation
wn30instances:synset-beverage-noun-1	dul:PhysicalObject	wn30instances:synset-food-noun-1	dul:FunctionalSubstance
wn30instances:synset-bevy-noun-1	dul:Collection	wn30instances:synset-gathering-noun-1	coll:AgentCollection
wn30instances:synset-bibliotheca-noun-1	dul:Collection	wn30instances:synset-library-noun-2	dul:Collection
wn30instances:synset-bibliotics-noun-1	d0:Topic	wn30instances:synset-discipline-noun-1	ontopic:Topic
wn30instances:synset-bicycle_race-noun-1	dul:Collection	wn30instances:synset-race-noun-2	coll:GeneticCollection
wn30instances:synset-bid-noun-2	d0:Activity	wn30instances:synset-attempt-noun-1	dul:Task
wn30instances:synset-bight-noun-4	d0:Location	wn30instances:synset-center-noun-4	<http://www.ontologydesignpatterns.org/ont/dul/Supplements.owl#DependentPlace>
wn30instances:synset-bilingualism-noun-1	d0:Characteristic	wn30instances:synset-ability-noun-2	dul:Quality
wn30instances:synset-bilocation-noun-1	d0:Location	wn30instances:synset-location-noun-1	dul:SpaceRegion
wn30instances:synset-bimester-noun-1	dul:TimeInterval	wn30instances:synset-time_period-noun-1	dul:TimeInterval
wn30instances:synset-bimetal-noun-1	dul:PhysicalObject	wn30instances:synset-material-noun-1	dul:FunctionalSubstance
wn30instances:synset-bimillennium-noun-2	dul:TimeInterval	wn30instances:synset-time_period-noun-1	dul:TimeInterval
wn30instances:synset-binary_compound-noun-1	dul:PhysicalObject	wn30instances:synset-compound-noun-2	dul:ChemicalObject
wn30instances:synset-binomial-noun-1	dul:Amount	wn30instances:synset-quantity-noun-3	dul:Amount
wn30instances:synset-biological_clock-noun-1	dul:PhysicalObject	wn30instances:synset-mechanism-noun-3	dul:PhysicalObject
wn30instances:synset-biological_time-noun-1	dul:TimeInterval	wn30instances:synset-time-noun-5	dul:TimeInterval
wn30instances:synset-biologism-noun-1	dul:Description	wn30instances:synset-practice-noun-1	dul:Method
wn30instances:synset-biomass-noun-1	dul:PhysicalObject	wn30instances:synset-fuel-noun-1	dul:FunctionalSubstance
wn30instances:synset-biont-noun-1	dul:PhysicalObject	wn30instances:synset-living_thing-noun-1	dul:PhysicalAgent
wn30instances:synset-biosafety-noun-1	dul:Situation	wn30instances:synset-safety-noun-1	dul:Situation
wn30instances:synset-biosphere-noun-1	d0:Location	wn30instances:synset-region-noun-1	dul:PhysicalPlace
wn30instances:synset-bipedalism-noun-1	d0:Characteristic	wn30instances:synset-bodily_property-noun-1	dul:Quality
wn30instances:synset-bird_s_nest-noun-1	d0:Location	wn30instances:synset-nest-noun-1	dul:Place
wn30instances:synset-birth-noun-2	d0:Event	wn30instances:synset-change-noun-1	dul:EventType
wn30instances:synset-birth-noun-5	dul:Person	wn30instances:synset-person-noun-1	dul:Person
wn30instances:synset-birthplace-noun-2	d0:Location	wn30instances:synset-beginning-noun-4	dul:Place
wn30instances:synset-birthright-noun-1	dul:Collection	wn30instances:synset-inheritance-noun-4	dul:Collection
wn30instances:synset-birthright-noun-3	dul:Collection	wn30instances:synset-inheritance-noun-4	dul:Collection
wn30instances:synset-bit-noun-10	dul:PhysicalObject	wn30instances:synset-part-noun-2	<http://www.ontologydesignpatterns.org/ont/dul/Supplements.owl#DependentPart>
wn30instances:synset-bit-noun-2	dul:PhysicalObject	wn30instances:synset-fragment-noun-1	<http://www.ontologydesignpatterns.org/ont/dul/Supplements.owl#DependentPart>
wn30instances:synset-bitch-noun-1	dul:Situation	wn30instances:synset-difficulty-noun-3	dul:Situation
wn30instances:synset-bite-noun-5	d0:Event	wn30instances:synset-success-noun-1	dul:EventType
wn30instances:synset-biter-noun-1	dul:Person	wn30instances:synset-person-noun-1	dul:Person
wn30instances:synset-bitter_principle-noun-1	dul:PhysicalObject	wn30instances:synset-compound-noun-2	dul:ChemicalObject
wn30instances:synset-bitterness-noun-4	d0:Characteristic	wn30instances:synset-taste_property-noun-1	dul:Quality
wn30instances:synset-black_market-noun-2	dul:Situation	wn30instances:synset-market-noun-1	dul:Situation
wn30instances:synset-blackboard-noun-1	dul:PhysicalObject	wn30instances:synset-sheet-noun-6	dul:DesignedArtifact
wn30instances:synset-blacktop-noun-1	dul:PhysicalObject	wn30instances:synset-paving-noun-1	dul:FunctionalSubstance
wn30instances:synset-bladder_disorder-noun-1	dul:Situation	wn30instances:synset-disorder-noun-1	dul:Situation
wn30instances:synset-blade-noun-3	dul:PhysicalObject	wn30instances:synset-ribbon-noun-1	dul:PhysicalObject
wn30instances:synset-blamelessness-noun-1	dul:Situation	wn30instances:synset-innocence-noun-3	dul:Situation
wn30instances:synset-blameworthiness-noun-1	dul:Situation	wn30instances:synset-guilt-noun-1	dul:Situation
wn30instances:synset-blank-noun-3	dul:PhysicalObject	wn30instances:synset-sheet-noun-6	dul:DesignedArtifact
wn30instances:synset-blanket-noun-2	dul:PhysicalObject	wn30instances:synset-covering-noun-1	<http://www.ontologydesignpatterns.org/ont/dul/Supplements.owl#DependentPart>
wn30instances:synset-blankness-noun-1	dul:Situation	wn30instances:synset-emptiness-noun-1	dul:Situation
wn30instances:synset-blastema-noun-1	dul:PhysicalObject	wn30instances:synset-cell-noun-2	dul:BiologicalObject
wn30instances:synset-blastogenesis-noun-2	dul:Description	wn30instances:synset-theory-noun-1	dul:Theory
wn30instances:synset-blastomere-noun-1	dul:PhysicalObject	wn30instances:synset-cell-noun-2	dul:BiologicalObject
wn30instances:synset-bleaching_agent-noun-1	dul:PhysicalObject	wn30instances:synset-agent-noun-3	dul:FunctionalSubstance
wn30instances:synset-blind-noun-1	dul:Collection	wn30instances:synset-people-noun-1	coll:AgentCollection
wn30instances:synset-blind_alley-noun-2	d0:Event	wn30instances:synset-course-noun-4	dul:EventType
wn30instances:synset-blind_side-noun-1	d0:Location	wn30instances:synset-side-noun-1	<http://www.ontologydesignpatterns.org/ont/dul/Supplements.owl#SpatialFeature>
wn30instances:synset-blind_spot-noun-1	d0:Topic	wn30instances:synset-topic-noun-2	ontopic:Topic
wn30instances:synset-block-noun-2	d0:Location	wn30instances:synset-area-noun-1	dul:Place
wn30instances:synset-block-noun-3	d0:Location	wn30instances:synset-solid-noun-3	dul:SpaceRegion
wn30instances:synset-block-noun-7	dul:Situation	wn30instances:synset-inability-noun-1	dul:Situation
wn30instances:synset-blogger-noun-1	dul:Person	wn30instances:synset-person-noun-1	dul:Person
wn30instances:synset-blond-noun-1	dul:Person	wn30instances:synset-person-noun-1	dul:Person
wn30instances:synset-blood-noun-5	dul:Collection	wn30instances:synset-people-noun-1	coll:AgentCollection
wn30instances:synset-bloodguilt-noun-1	dul:Situation	wn30instances:synset-guilt-noun-1	dul:Situation
wn30instances:synset-bloodiness-noun-1	dul:Situation	wn30instances:synset-physical_condition-noun-1	dul:Situation
wn30instances:synset-blue-noun-3	dul:Organization	wn30instances:synset-organization-noun-1	dul:Organization
wn30instances:synset-blue_book-noun-3	dul:InformationEntity	wn30instances:synset-booklet-noun-1	dul:InformationRealization
wn30instances:synset-bluecoat-noun-1	dul:Person	wn30instances:synset-person-noun-1	dul:Person
wn30instances:synset-blueprint-noun-1	dul:Description	wn30instances:synset-plan-noun-1	dul:Plan
wn30instances:synset-board-noun-3	dul:PhysicalObject	wn30instances:synset-sheet-noun-6	dul:DesignedArtifact
wn30instances:synset-board-noun-9	d0:Location	wn30instances:synset-surface-noun-1	<http://www.ontologydesignpatterns.org/ont/dul/Supplements.owl#SpatialFeature>
wn30instances:synset-boarding-noun-2	dul:PhysicalObject	wn30instances:synset-structure-noun-1	dul:DesignedArtifact
wn30instances:synset-boat_race-noun-1	dul:Collection	wn30instances:synset-race-noun-2	coll:GeneticCollection
wn30instances:synset-boatyard-noun-1	d0:Location	wn30instances:synset-place-noun-2	dul:SpaceRegion
wn30instances:synset-bob-noun-5	dul:PhysicalObject	wn30instances:synset-float-noun-6	dul:PhysicalObject
wn30instances:synset-body-noun-11	dul:PhysicalObject	wn30instances:synset-structure-noun-1	dul:DesignedArtifact
wn30instances:synset-body-noun-2	dul:Collection	wn30instances:synset-social_group-noun-1	dul:Collective
wn30instances:synset-body-noun-6	d0:System	wn30instances:synset-system-noun-2	dul:System
wn30instances:synset-body-noun-8	d0:Topic	wn30instances:synset-message-noun-2	ontopic:Topic
wn30instances:synset-body_covering-noun-1	dul:PhysicalObject	wn30instances:synset-covering-noun-1	<http://www.ontologydesignpatterns.org/ont/dul/Supplements.owl#DependentPart>
wn30instances:synset-body_language-noun-1	dul:InformationEntity	wn30instances:synset-visual_communication-noun-1	dul:InformationRealization
wn30instances:synset-bodybuilder-noun-1	dul:Person	wn30instances:synset-person-noun-1	dul:Person
wn30instances:synset-bohemianism-noun-1	d0:Activity	wn30instances:synset-behavior-noun-1	dul:Task
wn30instances:synset-bohrium-noun-1	dul:PhysicalObject	wn30instances:synset-chemical_element-noun-1	dul:ChemicalObject
wn30instances:synset-bomb_site-noun-1	d0:Location	wn30instances:synset-site-noun-1	dul:Place
wn30instances:synset-bombazine-noun-1	dul:PhysicalObject	wn30instances:synset-fabric-noun-1	dul:DesignedArtifact
wn30instances:synset-bomber-noun-2	dul:Person	wn30instances:synset-person-noun-1	dul:Person
wn30instances:synset-bonfire-noun-1	d0:Event	wn30instances:synset-fire-noun-1	dul:Event
wn30instances:synset-bong-noun-1	d0:Event	wn30instances:synset-sound-noun-4	dul:Event
wn30instances:synset-book-noun-6	dul:Collection	wn30instances:synset-collection-noun-1	dul:Collection
wn30instances:synset-book-noun-7	dul:Collection	wn30instances:synset-collection-noun-1	dul:Collection
wn30instances:synset-bookmark-noun-1	dul:PhysicalObject	wn30instances:synset-marker-noun-1	dul:PhysicalObject
wn30instances:synset-borderland-noun-1	d0:Location	wn30instances:synset-district-noun-1	dul:Place
wn30instances:synset-bore-noun-4	d0:Location	wn30instances:synset-excavation-noun-3	<http://www.ontologydesignpatterns.org/ont/dul/Supplements.owl#SpatialFeature>
wn30instances:synset-boron-noun-1	dul:PhysicalObject	wn30instances:synset-chemical_element-noun-1	dul:ChemicalObject
wn30instances:synset-botanical-noun-1	dul:PhysicalObject	wn30instances:synset-drug-noun-1	dul:FunctionalSubstance
wn30instances:synset-bottleneck-noun-2	dul:PhysicalObject	wn30instances:synset-part-noun-2	<http://www.ontologydesignpatterns.org/ont/dul/Supplements.owl#DependentPart>
wn30instances:synset-bottling_plant-noun-1	dul:PhysicalObject	wn30instances:synset-plant-noun-1	dul:DesignedArtifact
wn30instances:synset-bottomland-noun-1	dul:PhysicalObject	wn30instances:synset-land-noun-2	dul:Substance
wn30instances:synset-boucle-noun-1	dul:PhysicalObject	wn30instances:synset-fabric-noun-1	dul:DesignedArtifact
wn30instances:synset-boulder-noun-1	dul:PhysicalObject	wn30instances:synset-rock-noun-1	dul:PhysicalBody
wn30instances:synset-boundary-noun-1	d0:Location	wn30instances:synset-extremity-noun-4	<http://www.ontologydesignpatterns.org/ont/dul/Supplements.owl#SpatialFeature>
wn30instances:synset-bouquet-noun-2	d0:Characteristic	wn30instances:synset-olfactory_property-noun-1	dul:Quality
wn30instances:synset-bourn-noun-2	dul:Goal	wn30instances:synset-goal-noun-1	dul:Goal
wn30instances:synset-bout-noun-2	dul:TimeInterval	wn30instances:synset-time_period-noun-1	dul:TimeInterval
wn30instances:synset-bow-noun-5	d0:Characteristic	wn30instances:synset-curve-noun-1	dul:Quality
wn30instances:synset-bow-noun-8	dul:PhysicalObject	wn30instances:synset-decoration-noun-1	dul:DesignedArtifact
wn30instances:synset-bowels-noun-1	d0:Location	wn30instances:synset-center-noun-4	<http://www.ontologydesignpatterns.org/ont/dul/Supplements.owl#DependentPlace>
wn30instances:synset-brachycephaly-noun-1	d0:Characteristic	wn30instances:synset-quality-noun-1	dul:Quality
wn30instances:synset-brachydactyly-noun-1	dul:Situation	wn30instances:synset-abnormality-noun-1	dul:Situation
wn30instances:synset-bracket-noun-1	dul:Collection	wn30instances:synset-set-noun-1	dul:Collection
wn30instances:synset-brainstorming-noun-1	d0:Activity	wn30instances:synset-group_action-noun-1	dul:Action
wn30instances:synset-brand-name_drug-noun-1	dul:PhysicalObject	wn30instances:synset-drug-noun-1	dul:FunctionalSubstance
wn30instances:synset-brass-noun-5	dul:PhysicalObject	wn30instances:synset-decoration-noun-1	dul:DesignedArtifact
wn30instances:synset-brass_family-noun-1	dul:Organism	wn30instances:synset-class-noun-1	coll:Taxon
wn30instances:synset-brave-noun-2	dul:Collection	wn30instances:synset-people-noun-1	coll:AgentCollection
wn30instances:synset-breadbasket-noun-1	d0:Location	wn30instances:synset-region-noun-3	dul:PhysicalPlace
wn30instances:synset-break-noun-10	d0:Event	wn30instances:synset-change-noun-1	dul:EventType
wn30instances:synset-break-noun-2	d0:Event	wn30instances:synset-accident-noun-2	dul:EventType
wn30instances:synset-breakableness-noun-1	d0:Characteristic	wn30instances:synset-consistency-noun-1	dul:Quality
wn30instances:synset-breakdown-noun-3	d0:Event	wn30instances:synset-failure-noun-2	dul:EventType
wn30instances:synset-breech-noun-1	d0:Location	wn30instances:synset-opening-noun-10	<http://www.ontologydesignpatterns.org/ont/dul/Supplements.owl#DependentPlace>
wn30instances:synset-breed-noun-1	dul:Organism	wn30instances:synset-animal_group-noun-1	coll:AgentCollection
wn30instances:synset-breed-noun-1	dul:Collection	wn30instances:synset-animal_group-noun-1	coll:AgentCollection
wn30instances:synset-brewery-noun-1	dul:PhysicalObject	wn30instances:synset-plant-noun-1	dul:DesignedArtifact
wn30instances:synset-brick-noun-1	dul:PhysicalObject	wn30instances:synset-building_material-noun-1	dul:FunctionalSubstance
wn30instances:synset-brickbat-noun-1	dul:PhysicalObject	wn30instances:synset-fragment-noun-1	<http://www.ontologydesignpatterns.org/ont/dul/Supplements.owl#DependentPart>
wn30instances:synset-bridge-noun-1	dul:PhysicalObject	wn30instances:synset-structure-noun-1	dul:DesignedArtifact
wn30instances:synset-bridge-noun-3	dul:Description	wn30instances:synset-connection-noun-1	dul:Relation
wn30instances:synset-bridge_hand-noun-1	dul:Collection	wn30instances:synset-hand-noun-6	dul:Collection
wn30instances:synset-bridgehead-noun-2	d0:Location	wn30instances:synset-post-noun-1	dul:Place
wn30instances:synset-brier-noun-1	dul:Collection	wn30instances:synset-vegetation-noun-1	coll:AgentCollection
wn30instances:synset-brink-noun-1	d0:Location	wn30instances:synset-boundary-noun-2	<http://www.ontologydesignpatterns.org/ont/dul/Supplements.owl#SpatialFeature>
wn30instances:synset-briquette-noun-1	dul:PhysicalObject	wn30instances:synset-block-noun-1	dul:PhysicalObject
wn30instances:synset-brisance-noun-1	dul:Situation	wn30instances:synset-consequence-noun-1	dul:Situation
wn30instances:synset-broadcast-noun-1	dul:InformationEntity	wn30instances:synset-message-noun-1	dul:InformationRealization
wn30instances:synset-broadcast-noun-2	d0:Activity	wn30instances:synset-show-noun-3	dul:Action
wn30instances:synset-broadcast_area-noun-1	d0:Location	wn30instances:synset-area-noun-1	dul:Place
wn30instances:synset-broadcloth-noun-1	dul:PhysicalObject	wn30instances:synset-fabric-noun-1	dul:DesignedArtifact
wn30instances:synset-broadcloth-noun-2	dul:PhysicalObject	wn30instances:synset-fabric-noun-1	dul:DesignedArtifact
wn30instances:synset-brocade-noun-1	dul:PhysicalObject	wn30instances:synset-fabric-noun-1	dul:DesignedArtifact
wn30instances:synset-brokerage_house-noun-1	d0:Location	wn30instances:synset-workplace-noun-1	dul:Place
wn30instances:synset-bromine-noun-1	dul:Collection	wn30instances:synset-chemical_element-noun-1	dul:ChemicalObject
wn30instances:synset-bromine-noun-1	dul:PhysicalObject	wn30instances:synset-chemical_element-noun-1	dul:ChemicalObject
wn30instances:synset-bronze_age-noun-2	dul:TimeInterval	wn30instances:synset-time_period-noun-1	dul:TimeInterval
wn30instances:synset-brood-noun-1	dul:Collection	wn30instances:synset-animal_group-noun-1	coll:AgentCollection
wn30instances:synset-brotherhood-noun-1	dul:Description	wn30instances:synset-kinship-noun-2	dul:SocialRelation
wn30instances:synset-browse-noun-1	dul:Collection	wn30instances:synset-vegetation-noun-1	coll:AgentCollection
wn30instances:synset-brunet-noun-1	dul:Person	wn30instances:synset-person-noun-1	dul:Person
wn30instances:synset-brush-noun-1	dul:Collection	wn30instances:synset-vegetation-noun-1	coll:AgentCollection
wn30instances:synset-brush_fire-noun-1	d0:Event	wn30instances:synset-fire-noun-1	dul:Event
wn30instances:synset-brutalization-noun-1	dul:Situation	wn30instances:synset-condition-noun-1	dul:Situation
wn30instances:synset-brutalization-noun-2	dul:Situation	wn30instances:synset-wrongdoing-noun-2	dul:Situation
wn30instances:synset-buckram-noun-1	dul:PhysicalObject	wn30instances:synset-fabric-noun-1	dul:DesignedArtifact
wn30instances:synset-budget-noun-2	dul:Description	wn30instances:synset-plan-noun-1	dul:Plan
wn30instances:synset-buffer-noun-1	dul:PhysicalObject	wn30instances:synset-compound-noun-2	dul:ChemicalObject
wn30instances:synset-buffer-noun-5	dul:PhysicalObject	wn30instances:synset-power_tool-noun-1	dul:DesignedArtifact
wn30instances:synset-buffer_zone-noun-1	d0:Location	wn30instances:synset-zone-noun-3	dul:Place
wn30instances:synset-bugbear-noun-2	d0:CognitiveEntity	wn30instances:synset-object-noun-4	conc:InternalRepresentation
wn30instances:synset-bugle_call-noun-1	dul:InformationEntity	wn30instances:synset-signal-noun-1	dul:InformationRealization
wn30instances:synset-builder-noun-1	dul:PhysicalObject	wn30instances:synset-material-noun-1	dul:FunctionalSubstance
wn30instances:synset-building-noun-1	dul:PhysicalObject	wn30instances:synset-structure-noun-1	dul:DesignedArtifact
wn30instances:synset-building-noun-4	dul:Collection	wn30instances:synset-gathering-noun-1	coll:AgentCollection
wn30instances:synset-building_block-noun-2	dul:PhysicalObject	wn30instances:synset-building_material-noun-1	dul:FunctionalSubstance
wn30instances:synset-building_complex-noun-1	dul:PhysicalObject	wn30instances:synset-structure-noun-1	dul:DesignedArtifact
wn30instances:synset-bulb-noun-3	dul:PhysicalObject	wn30instances:synset-part-noun-2	<http://www.ontologydesignpatterns.org/ont/dul/Supplements.owl#DependentPart>
wn30instances:synset-bulb-noun-4	d0:Location	wn30instances:synset-round_shape-noun-1	dul:SpaceRegion
wn30instances:synset-bull_s_eye-noun-2	d0:Location	wn30instances:synset-center-noun-4	<http://www.ontologydesignpatterns.org/ont/dul/Supplements.owl#DependentPlace>
wn30instances:synset-bullfighter-noun-1	dul:Person	wn30instances:synset-person-noun-1	dul:Person
wn30instances:synset-bunch-noun-1	dul:PhysicalObject	wn30instances:synset-agglomeration-noun-1	dul:FunctionalSubstance
wn30instances:synset-bunting-noun-1	dul:PhysicalObject	wn30instances:synset-fabric-noun-1	dul:DesignedArtifact
wn30instances:synset-bureaucracy-noun-3	dul:Organization	wn30instances:synset-organization-noun-1	dul:Organization
wn30instances:synset-burial_chamber-noun-1	d0:Location	wn30instances:synset-grave-noun-2	dul:Place
wn30instances:synset-burlesque-noun-1	d0:Activity	wn30instances:synset-show-noun-3	dul:Action
wn30instances:synset-burnup-noun-1	dul:Collection	wn30instances:synset-race-noun-2	coll:GeneticCollection
wn30instances:synset-burr-noun-4	dul:PhysicalObject	wn30instances:synset-power_tool-noun-1	dul:DesignedArtifact
wn30instances:synset-burst-noun-3	d0:Activity	wn30instances:synset-activity-noun-1	dul:Action
wn30instances:synset-burthen-noun-1	d0:Characteristic	wn30instances:synset-load-noun-1	dul:PhysicalAttribute
wn30instances:synset-bus_stop-noun-1	d0:Location	wn30instances:synset-stop-noun-5	dul:Place
wn30instances:synset-business-noun-1	dul:Organization	wn30instances:synset-enterprise-noun-2	dul:Organization
wn30instances:synset-business_address-noun-1	d0:Location	wn30instances:synset-address-noun-2	dul:Place
wn30instances:synset-business_people-noun-1	dul:Collection	wn30instances:synset-people-noun-1	coll:AgentCollection
wn30instances:synset-buster-noun-4	dul:Person	wn30instances:synset-person-noun-1	dul:Person
wn30instances:synset-busyness-noun-1	dul:Situation	wn30instances:synset-action-noun-2	dul:Situation
wn30instances:synset-butane-noun-1	dul:PhysicalObject	wn30instances:synset-fuel-noun-1	dul:FunctionalSubstance
wn30instances:synset-butt-noun-2	dul:Description	wn30instances:synset-part-noun-1	dul:Relation
wn30instances:synset-butt-noun-9	dul:PhysicalObject	wn30instances:synset-part-noun-2	<http://www.ontologydesignpatterns.org/ont/dul/Supplements.owl#DependentPart>
wn30instances:synset-butterfly_effect-noun-1	dul:Situation	wn30instances:synset-consequence-noun-1	dul:Situation
wn30instances:synset-buttock-noun-1	dul:PhysicalObject	wn30instances:synset-body_part-noun-1	dul:BiologicalObject
wn30instances:synset-buttocks-noun-1	dul:PhysicalObject	wn30instances:synset-body_part-noun-1	dul:BiologicalObject
wn30instances:synset-button-noun-3	dul:PhysicalObject	wn30instances:synset-plant_part-noun-1	dul:BiologicalObject
wn30instances:synset-button-noun-7	dul:PhysicalObject	wn30instances:synset-artifact-noun-1	dul:PhysicalObject
wn30instances:synset-butyl-noun-1	dul:Collection	wn30instances:synset-group-noun-2	dul:Collection
wn30instances:synset-buyer_s_market-noun-1	dul:Situation	wn30instances:synset-market-noun-1	dul:Situation
wn30instances:synset-buzz-noun-1	d0:Event	wn30instances:synset-sound-noun-4	dul:Event
wn30instances:synset-buzz-noun-2	d0:Activity	wn30instances:synset-activity-noun-1	dul:Action
wn30instances:synset-by-product-noun-1	dul:Situation	wn30instances:synset-consequence-noun-1	dul:Situation
wn30instances:synset-cabotage-noun-1	dul:Description	wn30instances:synset-right-noun-1	dul:Right
wn30instances:synset-cabstand-noun-1	d0:Location	wn30instances:synset-stand-noun-2	dul:Place
wn30instances:synset-cacodyl-noun-2	dul:Collection	wn30instances:synset-group-noun-2	dul:Collection
wn30instances:synset-cadaver-noun-1	dul:PhysicalObject	wn30instances:synset-body-noun-3	dul:PhysicalBody
wn30instances:synset-cage-noun-1	d0:Location	wn30instances:synset-enclosure-noun-1	<http://www.ontologydesignpatterns.org/ont/dul/Supplements.owl#DependentPlace>
wn30instances:synset-cake-noun-1	dul:PhysicalObject	wn30instances:synset-block-noun-1	dul:PhysicalObject
wn30instances:synset-calcification-noun-3	dul:Situation	wn30instances:synset-inaction-noun-1	dul:Situation
wn30instances:synset-calcium-cyanamide-noun-1	dul:PhysicalObject	wn30instances:synset-compound-noun-2	dul:ChemicalObject
wn30instances:synset-calcium_ion-noun-1	dul:PhysicalObject	wn30instances:synset-coagulation_factor-noun-1	dul:FunctionalSubstance
wn30instances:synset-calculator-noun-2	dul:PhysicalObject	wn30instances:synset-machine-noun-1	dul:PhysicalAgent
wn30instances:synset-calculus-noun-1	dul:PhysicalObject	wn30instances:synset-rock-noun-1	dul:PhysicalBody
wn30instances:synset-calendar_day-noun-1	dul:TimeInterval	wn30instances:synset-time_period-noun-1	dul:TimeInterval
wn30instances:synset-calendar_month-noun-1	dul:TimeInterval	wn30instances:synset-time_period-noun-1	dul:TimeInterval
wn30instances:synset-calender-noun-1	dul:PhysicalObject	wn30instances:synset-machine-noun-1	dul:PhysicalAgent
wn30instances:synset-calibration-noun-1	d0:Activity	wn30instances:synset-activity-noun-1	dul:Action
wn30instances:synset-calico-noun-1	dul:PhysicalObject	wn30instances:synset-fabric-noun-1	dul:DesignedArtifact
wn30instances:synset-calisthenics-noun-1	dul:Description	wn30instances:synset-practice-noun-1	dul:Method
wn30instances:synset-callowness-noun-1	dul:Situation	wn30instances:synset-immaturity-noun-1	dul:Situation
wn30instances:synset-calmness-noun-3	d0:CognitiveEntity	wn30instances:synset-feeling-noun-1	conc:InternalRepresentation
wn30instances:synset-calyptra-noun-1	dul:PhysicalObject	wn30instances:synset-plant_part-noun-1	dul:BiologicalObject
wn30instances:synset-cambric-noun-1	dul:PhysicalObject	wn30instances:synset-fabric-noun-1	dul:DesignedArtifact
wn30instances:synset-camel_s_hair-noun-1	dul:PhysicalObject	wn30instances:synset-fabric-noun-1	dul:DesignedArtifact
wn30instances:synset-camlet-noun-2	dul:PhysicalObject	wn30instances:synset-fabric-noun-1	dul:DesignedArtifact
wn30instances:synset-camouflage-noun-2	dul:PhysicalObject	wn30instances:synset-fabric-noun-1	dul:DesignedArtifact
wn30instances:synset-camp-noun-2	dul:Collection	wn30instances:synset-gathering-noun-1	coll:AgentCollection
wn30instances:synset-camp-noun-8	d0:Location	wn30instances:synset-site-noun-1	dul:Place
wn30instances:synset-campfire-noun-1	d0:Event	wn30instances:synset-fire-noun-1	dul:Event
wn30instances:synset-campsite-noun-1	d0:Location	wn30instances:synset-site-noun-1	dul:Place
wn30instances:synset-candidate-noun-2	dul:Person	wn30instances:synset-person-noun-1	dul:Person
wn30instances:synset-cannibalism-noun-1	dul:Description	wn30instances:synset-practice-noun-1	dul:Method
