[syn]	d0s	top	d0t
wn30instances:synset-Dar_al-Islam-noun-1	d0:Location	wn30instances:synset-geographical_area-noun-1	dul:Place
wn30instances:synset-Dar_al-harb-noun-1	d0:Location	wn30instances:synset-geographical_area-noun-1	dul:Place
wn30instances:synset-Dicynodontia-noun-1	dul:Organism	wn30instances:synset-division-noun-7	coll:Taxon
wn30instances:synset-Dorian-noun-2	dul:Collection	wn30instances:synset-citizenry-noun-1	dul:Collective
wn30instances:synset-Earth-noun-4	d0:Location	wn30instances:synset-location-noun-1	dul:SpaceRegion
wn30instances:synset-Eden-noun-1	d0:Location	wn30instances:synset-region-noun-1	dul:PhysicalPlace
wn30instances:synset-El_Dorado-noun-1	d0:Location	wn30instances:synset-imaginary_place-noun-1	dul:Place
wn30instances:synset-Elgin_Marbles-noun-1	dul:Collection	wn30instances:synset-statuary-noun-1	dul:Collection
wn30instances:synset-Elizabethan-noun-1	dul:Person	wn30instances:synset-person-noun-1	dul:Person
wn30instances:synset-Elysium-noun-1	d0:Location	wn30instances:synset-imaginary_place-noun-1	dul:Place
wn30instances:synset-Euglenophyta-noun-1	dul:Organism	wn30instances:synset-division-noun-7	coll:Taxon
wn30instances:synset-Europe-noun-3	dul:Collection	wn30instances:synset-collection-noun-1	dul:Collection
wn30instances:synset-Fechner_s_law-noun-1	dul:Description	wn30instances:synset-law-noun-4	dul:Theory
wn30instances:synset-Feosol-noun-1	dul:PhysicalObject	wn30instances:synset-drug-noun-1	dul:FunctionalSubstance
wn30instances:synset-Fergon-noun-1	dul:PhysicalObject	wn30instances:synset-drug-noun-1	dul:FunctionalSubstance
wn30instances:synset-Fermi-Dirac_statistics-noun-1	dul:Description	wn30instances:synset-law-noun-4	dul:Theory
wn30instances:synset-Flemish-noun-1	dul:Collection	wn30instances:synset-ethnic_group-noun-1	dul:Collective
wn30instances:synset-Four_Hundred-noun-1	dul:Collection	wn30instances:synset-set-noun-5	dul:Collective
wn30instances:synset-Free_French-noun-1	dul:Collection	wn30instances:synset-movement-noun-4	dul:Collective
wn30instances:synset-Free_World-noun-1	dul:Collection	wn30instances:synset-collection-noun-1	dul:Collection
wn30instances:synset-French_region-noun-1	d0:Location	wn30instances:synset-geographical_area-noun-1	dul:Place
wn30instances:synset-Frisbee-noun-1	dul:PhysicalObject	wn30instances:synset-plaything-noun-1	dul:DesignedArtifact
wn30instances:synset-Gay-Lussac_s_law-noun-1	dul:Description	wn30instances:synset-law-noun-4	dul:Theory
wn30instances:synset-Gemini-noun-1	dul:Person	wn30instances:synset-person-noun-1	dul:Person
wn30instances:synset-Girl_Scouts-noun-1	dul:Organization	wn30instances:synset-organization-noun-1	dul:Organization
wn30instances:synset-God_s_Will-noun-1	dul:Situation	wn30instances:synset-omnipotence-noun-1	dul:Situation
wn30instances:synset-God_s_Wisdom-noun-1	dul:Situation	wn30instances:synset-omniscience-noun-1	dul:Situation
wn30instances:synset-Godspeed-noun-1	d0:Event	wn30instances:synset-success-noun-1	dul:EventType
wn30instances:synset-Golden_Age-noun-3	dul:TimeInterval	wn30instances:synset-time_period-noun-1	dul:TimeInterval
wn30instances:synset-Great_Attractor-noun-1	dul:Collection	wn30instances:synset-galaxy-noun-3	dul:Collection
wn30instances:synset-Greek_fire-noun-1	dul:PhysicalObject	wn30instances:synset-mixture-noun-1	dul:FunctionalSubstance
wn30instances:synset-Greenwich_Mean_Time-noun-1	dul:TimeInterval	wn30instances:synset-time-noun-5	dul:TimeInterval
wn30instances:synset-HAZMAT-noun-1	dul:PhysicalObject	wn30instances:synset-material-noun-1	dul:FunctionalSubstance
wn30instances:synset-Hageman_factor-noun-1	dul:PhysicalObject	wn30instances:synset-coagulation_factor-noun-1	dul:FunctionalSubstance
wn30instances:synset-Heaven-noun-2	d0:Location	wn30instances:synset-imaginary_place-noun-1	dul:Place
wn30instances:synset-Hebrews-noun-1	dul:Collection	wn30instances:synset-ethnic_group-noun-1	dul:Collective
wn30instances:synset-Hell-noun-3	d0:Location	wn30instances:synset-imaginary_place-noun-1	dul:Place
wn30instances:synset-Hell-noun-4	d0:Location	wn30instances:synset-imaginary_place-noun-1	dul:Place
wn30instances:synset-Henry_s_law-noun-1	dul:Description	wn30instances:synset-law-noun-4	dul:Theory
wn30instances:synset-Heterokontophyta-noun-1	dul:Organism	wn30instances:synset-division-noun-7	coll:Taxon
wn30instances:synset-Hinduism-noun-2	dul:InformationEntity	wn30instances:synset-religion-noun-1	coll:InformationCollection
wn30instances:synset-Holy_Order-noun-1	dul:Role	wn30instances:synset-status-noun-1	rol:Status
wn30instances:synset-Hooke_s_law-noun-1	dul:Description	wn30instances:synset-law-noun-4	dul:Theory
wn30instances:synset-Houyhnhnms-noun-1	d0:Location	wn30instances:synset-imaginary_place-noun-1	dul:Place
wn30instances:synset-Hubble_s_law-noun-1	dul:Description	wn30instances:synset-law-noun-4	dul:Theory
wn30instances:synset-Igbo-noun-1	dul:Collection	wn30instances:synset-ethnic_group-noun-1	dul:Collective
wn30instances:synset-Igbo-noun-1	dul:Person	wn30instances:synset-ethnic_group-noun-1	dul:Collective
wn30instances:synset-Indian_summer-noun-1	dul:TimeInterval	wn30instances:synset-time_period-noun-1	dul:TimeInterval
wn30instances:synset-Ionian-noun-2	dul:Collection	wn30instances:synset-citizenry-noun-1	dul:Collective
wn30instances:synset-Jainism-noun-2	dul:InformationEntity	wn30instances:synset-religion-noun-1	coll:InformationCollection
wn30instances:synset-Jat-noun-1	dul:Person	wn30instances:synset-person-noun-1	dul:Person
wn30instances:synset-Jew-noun-1	dul:Person	wn30instances:synset-person-noun-1	dul:Person
wn30instances:synset-Jewry-noun-1	dul:Collection	wn30instances:synset-social_group-noun-1	dul:Collective
wn30instances:synset-Judaica-noun-1	dul:Collection	wn30instances:synset-collection-noun-1	dul:Collection
wn30instances:synset-Juggernaut-noun-3	dul:Personification	wn30instances:synset-idol-noun-1	dul:Personification
wn30instances:synset-Kepler_s_law-noun-1	dul:Description	wn30instances:synset-law-noun-4	dul:Theory
wn30instances:synset-Kirchhoff_s_laws-noun-1	dul:Description	wn30instances:synset-law-noun-4	dul:Theory
wn30instances:synset-Klein_bottle-noun-1	d0:Location	wn30instances:synset-surface-noun-1	<http://www.ontologydesignpatterns.org/ont/dul/Supplements.owl#SpatialFeature>
wn30instances:synset-Kuiper_belt-noun-1	d0:Location	wn30instances:synset-region-noun-1	dul:PhysicalPlace
wn30instances:synset-Kupffer_s_cell-noun-1	dul:PhysicalObject	wn30instances:synset-cell-noun-2	dul:BiologicalObject
wn30instances:synset-Kurd-noun-1	dul:Collection	wn30instances:synset-ethnic_group-noun-1	dul:Collective
wn30instances:synset-Kurd-noun-1	dul:Person	wn30instances:synset-ethnic_group-noun-1	dul:Collective
wn30instances:synset-Laputa-noun-1	d0:Location	wn30instances:synset-imaginary_place-noun-1	dul:Place
wn30instances:synset-Latin-noun-3	dul:Person	wn30instances:synset-person-noun-1	dul:Person
wn30instances:synset-Lego-noun-1	dul:PhysicalObject	wn30instances:synset-plaything-noun-1	dul:DesignedArtifact
wn30instances:synset-Leo-noun-1	dul:Person	wn30instances:synset-person-noun-1	dul:Person
wn30instances:synset-Leydig_cell-noun-1	dul:PhysicalObject	wn30instances:synset-cell-noun-2	dul:BiologicalObject
wn30instances:synset-Libra-noun-1	dul:Person	wn30instances:synset-person-noun-1	dul:Person
wn30instances:synset-Lilliput-noun-1	d0:Location	wn30instances:synset-imaginary_place-noun-1	dul:Place
wn30instances:synset-Mafia-noun-2	dul:Organization	wn30instances:synset-organized_crime-noun-1	dul:Organization
wn30instances:synset-Mandelbrot_set-noun-1	dul:Abstract	wn30instances:synset-set-noun-2	dul:Set
wn30instances:synset-Manichaeism-noun-1	dul:InformationEntity	wn30instances:synset-religion-noun-1	coll:InformationCollection
wn30instances:synset-Mbundu-noun-1	dul:Collection	wn30instances:synset-ethnic_group-noun-1	dul:Collective
wn30instances:synset-Meccano-noun-1	dul:PhysicalObject	wn30instances:synset-plaything-noun-1	dul:DesignedArtifact
wn30instances:synset-Mendel_s_law-noun-1	dul:Description	wn30instances:synset-law-noun-4	dul:Theory
wn30instances:synset-Midgard-noun-1	d0:Location	wn30instances:synset-imaginary_place-noun-1	dul:Place
wn30instances:synset-Milky_Way-noun-1	dul:Collection	wn30instances:synset-galaxy-noun-3	dul:Collection
wn30instances:synset-Mithraism-noun-1	dul:InformationEntity	wn30instances:synset-religion-noun-1	coll:InformationCollection
wn30instances:synset-Mobius_strip-noun-1	d0:Location	wn30instances:synset-surface-noun-1	<http://www.ontologydesignpatterns.org/ont/dul/Supplements.owl#SpatialFeature>
wn30instances:synset-Moloch-noun-1	dul:PhysicalObject	wn30instances:synset-power-noun-5	dul:FunctionalSubstance
wn30instances:synset-Mosaic_law-noun-1	dul:InformationEntity	wn30instances:synset-law-noun-1	coll:InformationCollection
wn30instances:synset-Newton_s_law_of_motion-noun-1	dul:Description	wn30instances:synset-law-noun-4	dul:Theory
wn30instances:synset-Norse_mythology-noun-1	dul:Collection	wn30instances:synset-mythology-noun-1	dul:Collection
wn30instances:synset-North_America-noun-2	dul:Collection	wn30instances:synset-collection-noun-1	dul:Collection
wn30instances:synset-Nubian-noun-1	dul:Person	wn30instances:synset-ethnic_group-noun-1	dul:Collective
wn30instances:synset-Nubian-noun-1	dul:Collection	wn30instances:synset-ethnic_group-noun-1	dul:Collective
wn30instances:synset-Ohm_s_law-noun-1	dul:Description	wn30instances:synset-law-noun-4	dul:Theory
wn30instances:synset-Olympiad-noun-1	dul:TimeInterval	wn30instances:synset-time_period-noun-1	dul:TimeInterval
wn30instances:synset-Omomyid-noun-1	dul:Organism	wn30instances:synset-taxonomic_group-noun-1	coll:Taxon
wn30instances:synset-Oort_cloud-noun-1	dul:Collection	wn30instances:synset-collection-noun-1	dul:Collection
wn30instances:synset-Oxbridge-noun-1	dul:Organization	wn30instances:synset-university-noun-2	dul:DesignedArtifact
wn30instances:synset-Papua-noun-1	d0:Location	wn30instances:synset-region-noun-1	dul:PhysicalPlace
wn30instances:synset-Pascal_s_law-noun-1	dul:Description	wn30instances:synset-law-noun-4	dul:Theory
